Country,"Density
(P/Km2)",Land Area(Km2),Population,Urban_population
Afghanistan,60,"652,230","38,041,754","9,797,273"
Albania,105,"28,748","2,854,191","1,747,593"
Algeria,18,"2,381,741","43,053,054","31,510,100"
Angola,26,"1,246,700","31,825,295","21,061,025"
Antigua and Barbuda,223,443,"97,118","23,800"
Argentina,17,"2,780,400","44,938,712","41,339,571"
Armenia,104,"29,743","2,957,731","1,869,848"
Australia,3,"7,741,220","25,766,605","21,844,756"
Austria,109,"83,871","8,877,067","5,194,416"
Azerbaijan,123,"86,600","10,023,318","5,616,165"
The Bahamas,39,"13,880","389,482","323,784"
Bahrain,"2,239",765,"1,501,635","1,467,109"
Bangladesh,"1,265","148,460","167,310,838","60,987,417"
Barbados,668,430,"287,025","89,431"
Belarus,47,"207,600","9,466,856","7,482,982"
Belgium,383,"30,528","11,484,055","11,259,082"
Belize,17,"22,966","390,353","179,039"
Benin,108,"112,622","11,801,151","5,648,149"
Bhutan,20,"38,394","727,145","317,538"
Bolivia,11,"1,098,581","11,513,100","8,033,035"
Bosnia and Herzegovina,64,"51,197","3,301,000","1,605,144"
Botswana,4,"581,730","2,346,179","1,616,550"
Brazil,25,"8,515,770","212,559,417","183,241,641"
Bulgaria,64,"110,879","6,975,761","5,256,027"
Burkina Faso,76,"274,200","20,321,378","6,092,349"
Burundi,463,"27,830","11,530,580","1,541,177"
Cape Verde,138,"4,033","483,628","364,029"
Cambodia,95,"181,035","16,486,542","3,924,621"
Cameroon,56,"475,440","25,876,380","14,741,256"
Canada,4,"9,984,670","36,991,981","30,628,482"
Central African Republic,8,"622,984","4,745,185","1,982,064"
Chad,13,"1,284,000","15,946,876","3,712,273"
Chile,26,"756,096","18,952,038","16,610,135"
China,153,"9,596,960","1,397,715,000","842,933,962"
Colombia,46,"1,138,910","50,339,443","40,827,302"
Comoros,467,"2,235","850,886","248,152"
Republic of the Congo,16,"342,000","5,380,508","3,625,010"
Costa Rica,100,"51,100","5,047,561","4,041,885"
Croatia,73,"56,594","4,067,500","2,328,318"
Cuba,106,"110,860","11,333,483","8,739,135"
Cyprus,131,"9,251","1,198,575","800,708"
Czech Republic,139,"78,867","10,669,709","7,887,156"
Democratic Republic of the Congo,40,"2,344,858","86,790,567","39,095,679"
Denmark,137,"43,094","5,818,553","5,119,978"
Djibouti,43,"23,200","973,560","758,549"
Dominica,96,751,"71,808","50,830"
Dominican Republic,225,"48,670","10,738,958","8,787,475"
Ecuador,71,"283,561","17,373,662","11,116,711"
Egypt,103,"1,001,450","100,388,073","42,895,824"
El Salvador,313,"21,041","6,453,553","4,694,702"
Equatorial Guinea,50,"28,051","1,355,986","984,812"
Eritrea,35,"117,600","6,333,135","1,149,670"
Estonia,31,"45,228","1,331,824","916,024"
Eswatini,67,"17,364","1,093,238",
Ethiopia,115,"1,104,300","112,078,730","23,788,710"
Fiji,49,"18,274","889,953","505,048"
Finland,18,"338,145","5,520,314","4,716,888"
France,119,"643,801","67,059,887","54,123,364"
Gabon,9,"267,667","2,172,579","1,949,694"
Georgia,57,"69,700","3,720,382","2,196,476"
Germany,240,"357,022","83,132,799","64,324,835"
Ghana,137,"238,533","30,792,608","17,249,054"
Greece,81,"131,957","10,716,322","8,507,474"
Grenada,331,349,"112,003","40,765"
Guatemala,167,"108,889","16,604,026","8,540,945"
Guinea,53,"245,857","12,771,246","4,661,505"
