StartYear,Region,num_disasters,total_deaths
2000,Africa,253,10345.0
2000,Americas,149,2054.0
2000,Asia,335,13313.0
2000,Europe,120,1510.0
2000,Oceania,15,231.0
2001,Africa,226,12428.0
2001,Americas,125,3035.0
2001,Asia,298,29889.0
2001,Europe,85,2191.0
2001,Oceania,18,9.0
2002,Africa,233,11160.0
2002,Americas,158,2380.0
2002,Asia,328,16835.0
2002,Europe,106,1560.0
2002,Oceania,18,232.0
2003,Africa,186,8889.0
2003,Americas,126,2622.0
2003,Asia,317,39474.0
2003,Europe,86,72841.0
2003,Oceania,20,56.0
2004,Africa,182,6572.0
2004,Americas,119,8259.0
2004,Asia,335,239088.0
2004,Europe,73,845.0
2004,Oceania,18,30.0
2005,Africa,203,6163.0
2005,Americas,135,5444.0
2005,Asia,376,91812.0
2005,Europe,111,1491.0
2005,Oceania,12,42.0
2006,Africa,238,11993.0
2006,Americas,104,1573.0
2006,Asia,307,20583.0
2006,Europe,81,5478.0
2006,Oceania,18,24.0
2007,Africa,197,8383.0
2007,Americas,130,2929.0
2007,Asia,277,16789.0
2007,Europe,92,1510.0
2007,Oceania,10,253.0
2008,Africa,190,9424.0
2008,Americas,144,2864.0
2008,Asia,233,235682.0
2008,Europe,50,741.0
2008,Oceania,13,25.0
2009,Africa,170,6811.0
2009,Americas,118,2337.0
2009,Asia,231,10501.0
2009,Europe,68,1375.0
2009,Oceania,20,1051.0
2010,Africa,149,27124.0
2010,Americas,148,233830.0
2010,Asia,256,18549.0
2010,Europe,89,56929.0
2010,Oceania,16,139.0
2011,Africa,171,6333.0
2011,Americas,128,3222.0
2011,Asia,244,30088.0
2011,Europe,39,791.0
2011,Oceania,14,221.0
2012,Africa,128,4651.0
2012,Americas,116,2264.0
2012,Asia,208,8612.0
2012,Europe,85,1597.0
2012,Oceania,14,433.0
2013,Africa,125,2956.0
2013,Americas,108,1859.0
2013,Asia,221,22059.0
2013,Europe,66,1798.0
2013,Oceania,13,40.0
2014,Africa,114,15710.0
2014,Americas,110,1584.0
2014,Asia,229,8999.0
2014,Europe,71,720.0
2014,Oceania,12,201.0
2015,Africa,119,4993.0
2015,Americas,127,1926.0
2015,Asia,259,21583.0
2015,Europe,63,5032.0
2015,Oceania,25,66.0
2016,Africa,109,5864.0
2016,Americas,109,2518.0
2016,Asia,240,7172.0
2016,Europe,51,1277.0
2016,Oceania,17,69.0
2017,Africa,117,5166.0
2017,Americas,115,2342.0
2017,Asia,225,8257.0
2017,Europe,53,567.0
2017,Oceania,7,12.0
2018,Africa,118,5859.0
2018,Americas,86,1488.0
2018,Asia,197,11223.0
2018,Europe,65,764.0
2018,Oceania,17,268.0
2019,Africa,172,13028.0
2019,Americas,120,2337.0
2019,Asia,224,8651.0
2019,Europe,71,3190.0
2019,Oceania,15,152.0
2020,Africa,136,2651.0
2020,Americas,101,1489.0
2020,Asia,193,7092.0
2020,Europe,50,6781.0
2020,Oceania,18,102.0
2021,Africa,120,6463.0
2021,Americas,152,5073.0
2021,Asia,221,6800.0
2021,Europe,69,647.0
2021,Oceania,15,14.0
2022,Africa,146,9732.0
2022,Americas,139,2601.0
2022,Asia,203,9567.0
2022,Europe,84,61888.0
2022,Oceania,10,43.0
2023,Africa,123,23504.0
2023,Americas,126,2203.0
2023,Asia,214,65185.0
2023,Europe,72,612.0
2023,Oceania,18,82.0
2024,Africa,42,1283.0
2024,Americas,41,1029.0
2024,Asia,63,2772.0
2024,Europe,9,43.0
2024,Oceania,5,28.0
